# GymConfig(dt=1.0, num_drones=4, num_users=20, drones_speed=2.0, drones_height=10.0, boundary_size=1000.0, num_obstacles=0)
# DQNConfig(memory_size=200000, min_memory=50000, update_freq=10000, batch_size=32, gamma=0.99, epsilon=1.0, epsilon_min=0.1, epsilon_decay=1e-05, decay_type='linear', n_step=3, per_alpha=0.6, per_beta=0.4, per_beta_annealing=1e-06, autosave_freq=10000)
episode,sim_time,sim_steps,area_coverage,user_coverage,mean_reward,memory_size,epsilon,loss,train_time,train_steps,train_speed
54,1000.0,1000,0.684,0.7,0.0,200000,0.5848900000018892,0.023021605,1606.0082664489746,41511,25.84731401609442
55,1000.0,1000,0.309,0.3,0.0,200000,0.5748900000019347,0.022801919,1642.8743658065796,42511,25.875989590226713
56,1000.0,1000,0.328,0.3,0.0,200000,0.5648900000019802,0.022588238,1680.6594803333282,43511,25.889241989118123
57,1000.0,1000,0.145,0.1,0.0,200000,0.5548900000020257,0.022659538,1718.5847520828247,44511,25.89979920030436
58,1000.0,1000,0.339,0.4,0.0,200000,0.5448900000020712,0.023329379,1756.3266780376434,45511,25.912605301021607
59,1000.0,1000,0.248,0.3,0.0,200000,0.5348900000021167,0.023280175,1794.1446857452393,46511,25.923773230115913
60,1000.0,1000,0.245,0.05,0.0,200000,0.5248900000021622,0.0230638,1831.1525490283966,47511,25.945954096861666
61,1000.0,1000,0.311,0.5,0.0,200000,0.5148900000022077,0.023728251,1869.3534858226776,48511,25.950683136897236
62,1000.0,1000,0.342,0.2,0.0,200000,0.5048900000022533,0.023577908,1907.3703472614288,49511,25.957727642515508
63,1000.0,1000,0.323,0.3,0.0,200000,0.4948900000022704,0.023682307,1945.6459906101227,50511,25.961043382415422
64,1000.0,1000,0.393,0.4,0.0,200000,0.4848900000022604,0.023646433,1983.7039060592651,51511,25.96708098939388
65,1000.0,1000,0.308,0.25,0.0,200000,0.4748900000022504,0.023708722,2020.8389811515808,52511,25.9847521109726
66,1000.0,1000,0.381,0.25,0.0,200000,0.4648900000022404,0.023582092,2058.3791930675507,53511,25.996667750929667
67,1000.0,1000,0.743,0.65,0.0,200000,0.4548900000022304,0.023527117,2095.890560388565,54511,26.008514476677284
68,1000.0,1000,0.69,0.6,0.0,200000,0.4448900000022204,0.02336872,2133.294976234436,55511,26.021249100475
69,1000.0,1000,0.372,0.3,0.0,200000,0.4348900000022104,0.023193114,2171.283271074295,56511,26.026544179757888
70,1000.0,1000,0.609,0.65,0.0,200000,0.4248900000022004,0.023026308,2207.9242775440216,57511,26.047541832069324
71,1000.0,1000,0.413,0.6,0.0,200000,0.4148900000021904,0.023002576,2246.1496856212616,58511,26.0494660539042
72,1000.0,1000,0.593,0.65,0.0,200000,0.4048900000021804,0.02284279,2284.652731895447,59511,26.048160036211005
73,1000.0,1000,0.654,0.8,0.0,200000,0.3948900000021704,0.022689775,2322.58047914505,60511,26.053349076471832
74,1000.0,1000,0.397,0.6,0.0,200000,0.3848900000021604,0.022549484,2360.1255235671997,61511,26.06259682942706
75,1000.0,1000,0.314,0.35,0.0,200000,0.3748900000021504,0.022320798,2396.8849506378174,62511,26.080100325512795
76,1000.0,1000,0.764,0.75,0.0,200000,0.3648900000021404,0.022248589,2434.5073714256287,63511,26.087824058601704
77,1000.0,1000,0.601,0.55,0.0,200000,0.3548900000021304,0.022504864,2472.7574779987335,64511,26.08868866500016
78,1000.0,1000,0.534,0.55,0.0,200000,0.3448900000021204,0.022268912,2510.706842660904,65511,26.09265202460158
79,1000.0,1000,0.552,0.45,0.0,200000,0.3348900000021104,0.022024568,2548.4722032546997,66511,26.098381572540962
80,1000.0,1000,0.776,0.95,0.0,200000,0.3248900000021004,0.02183213,2585.307061433792,67511,26.113339103278967
81,1000.0,1000,0.447,0.3,0.0,200000,0.3148900000020904,0.021609701,2622.8712928295135,68511,26.12061070957411
82,1000.0,1000,0.258,0.35,0.0,200000,0.3048900000020804,0.021473791,2660.706113576889,69511,26.125019833211237
83,1000.0,1000,0.277,0.35,0.0,200000,0.2948900000020704,0.021250738,2698.8314685821533,70511,26.12649244992881
84,1000.0,1000,0.276,0.4,0.0,200000,0.2848900000020604,0.021080932,2736.502513885498,71511,26.132261753259602
85,1000.0,1000,0.276,0.2,0.0,200000,0.2748900000020504,0.02088759,2773.907821416855,72511,26.140378357729933
86,1000.0,1000,0.317,0.6,0.0,200000,0.2648900000020404,0.020682503,2812.0569701194763,73511,26.141362272760624
87,1000.0,1000,0.359,0.45,0.0,200000,0.2548900000020304,0.020694956,2849.8511390686035,74511,26.14557615521094
88,1000.0,1000,0.402,0.3,0.0,200000,0.24489000000202038,0.020533372,2887.7802214622498,75511,26.14845805311869
89,1000.0,1000,0.345,0.4,0.0,200000,0.23489000000201038,0.020381117,2925.6295249462128,76511,26.15197834692908
90,1000.0,1000,0.309,0.2,0.0,200000,0.22489000000200038,0.020223767,2962.5710661411285,77511,26.16342300557387
91,1000.0,1000,0.252,0.25,0.0,200000,0.21489000000199038,0.020119,3000.293971300125,78511,26.167769138135775
92,1000.0,1000,0.717,0.75,0.0,200000,0.20489000000198038,0.019977828,3038.0653882026672,79511,26.171589421279666
93,1000.0,1000,0.283,0.3,0.0,200000,0.19489000000197038,0.01982343,3076.5601518154144,80511,26.169161663806406
94,1000.0,1000,0.202,0.25,0.0,200000,0.18489000000196038,0.019702224,3114.684577226639,81511,26.1699051594174
95,1000.0,1000,0.242,0.2,0.0,200000,0.17489000000195037,0.019601198,3151.753388404846,82511,26.17939597838751
96,1000.0,1000,0.756,0.85,0.0,200000,0.16489000000194037,0.019505257,3189.72811126709,83511,26.181228326730256
97,1000.0,1000,0.397,0.4,0.0,200000,0.15489000000193037,0.019398987,3227.2648112773895,84511,26.186571268014244
98,1000.0,1000,0.155,0.1,0.0,200000,0.14489000000192037,0.01925921,3265.297954559326,85511,26.18780925278623
99,1000.0,1000,0.122,0.2,0.0,200000,0.13489000000191037,0.019204594,3303.080199241638,86511,26.19100801953686
100,1000.0,1000,0.33,0.55,0.0,200000,0.12489000000190052,0.019150596,3340.280147790909,87511,26.1987007423263
101,1000.0,1000,0.693,0.7,0.0,200000,0.1148900000019044,0.019148203,3378.3458275794983,88511,26.19950842767231
102,1000.0,1000,0.714,0.65,0.0,200000,0.10489000000190828,0.01930524,3416.2711460590363,89511,26.20137458483586
103,1000.0,1000,0.121,0.1,0.0,200000,0.1,0.019163975,3454.528755426407,90511,26.200679280880497
104,1000.0,1000,0.738,0.75,0.0,200000,0.1,0.019019539,3492.6673851013184,91511,26.20089172472168
105,1000.0,1000,0.334,0.45,0.0,200000,0.1,0.018884672,3529.587902545929,92511,26.21014195864732
106,1000.0,1000,0.309,0.2,0.0,200000,0.1,0.018756084,3567.503497838974,93511,26.2118874008521
107,1000.0,1000,0.666,0.6,0.0,200000,0.1,0.018667208,3604.9891374111176,94511,26.216722543405748
108,1000.0,1000,0.144,0.1,0.0,200000,0.1,0.018542254,3642.915504693985,95511,26.218285836764256
109,1000.0,1000,0.259,0.35,0.0,200000,0.1,0.018428355,3680.891354560852,96511,26.21946443907182
110,1000.0,1000,0.306,0.2,0.0,200000,0.1,0.018318053,3718.0336022377014,97511,26.22649776922441
111,1000.0,1000,0.549,0.55,0.0,200000,0.1,0.018192934,3755.8415489196777,98511,26.228742268381545
112,1000.0,1000,0.32,0.35,0.0,200000,0.1,0.018090902,3793.4685621261597,99511,26.232193138755758
113,1000.0,1000,0.341,0.45,0.0,200000,0.1,0.017968003,3831.7257051467896,100511,26.231261764439754
114,1000.0,1000,0.471,0.5,0.0,200000,0.1,0.017862614,3869.3212454319,101511,26.23483384872185
115,1000.0,1000,0.355,0.2,0.0,200000,0.1,0.017734852,3906.0304691791534,102511,26.244290923062945
116,1000.0,1000,0.646,0.75,0.0,200000,0.1,0.017715901,3943.605246782303,103511,26.24780968428358
117,1000.0,1000,0.536,0.6,0.0,200000,0.1,0.017651156,3981.9912762641907,104511,26.24591384979997
118,1000.0,1000,0.36,0.3,0.0,200000,0.1,0.017534086,4019.757882118225,105511,26.248098288915987
119,1000.0,1000,0.338,0.3,0.0,200000,0.1,0.01749306,4057.7825105190277,106511,26.248572884046382
120,1000.0,1000,0.336,0.5,0.0,200000,0.1,0.017382335,4095.0693576335907,107511,26.253767787124463
121,1000.0,1000,0.601,0.45,0.0,200000,0.1,0.017294096,4133.005599975586,108511,26.254743032978745
122,1000.0,1000,0.89,0.9,0.0,200000,0.1,0.017219728,4170.566732883453,109511,26.25806203363764
123,1000.0,1000,0.738,0.85,0.0,200000,0.1,0.01715942,4208.498927593231,110511,26.259006331903258
124,1000.0,1000,0.635,0.7,0.0,200000,0.1,0.017111257,4246.234743595123,111511,26.261148220647947
125,1000.0,1000,0.201,0.0,0.0,200000,0.1,0.01711884,4283.41454911232,112511,26.266661491074096
126,1000.0,1000,0.437,0.5,0.0,200000,0.1,0.017016497,4321.09193778038,113511,26.269054585197793
127,1000.0,1000,0.65,0.55,0.0,200000,0.1,0.016941693,4358.601091861725,114511,26.272420343203315
128,1000.0,1000,0.847,0.8,0.0,200000,0.1,0.016890585,4396.082560300827,115511,26.2758941390995
129,1000.0,1000,0.764,0.85,0.0,200000,0.1,0.016834643,4433.6098120212555,116511,26.279037833135913
130,1000.0,1000,0.718,0.85,0.0,200000,0.1,0.016764289,4470.345546722412,117511,26.286782252740053
131,1000.0,1000,0.304,0.3,0.0,200000,0.1,0.016690975,4507.956632852554,118511,26.289294603574035
132,1000.0,1000,0.43,0.65,0.0,200000,0.1,0.016602606,4545.414976358414,119511,26.29264888003903
133,1000.0,1000,0.245,0.25,0.0,200000,0.1,0.01658527,4583.73533987999,120511,26.291003090640626
134,1000.0,1000,0.188,0.2,0.0,200000,0.1,0.016526323,4621.741512060165,121511,26.291171772397743
135,1000.0,1000,0.249,0.25,0.0,200000,0.1,0.016447421,4658.87199139595,122511,26.296279487276305
136,1000.0,1000,0.772,0.65,0.0,200000,0.1,0.016367303,4696.189630270004,123511,26.30025823171187
137,1000.0,1000,0.865,0.9,0.0,200000,0.1,0.016295636,4733.604628324509,124511,26.30363322617793
138,1000.0,1000,0.776,0.6,0.0,200000,0.1,0.016225578,4770.965008735657,125511,26.307256447625285
139,1000.0,1000,0.874,0.9,0.0,200000,0.1,0.016140306,4808.308904647827,126511,26.310913563107267
140,1000.0,1000,0.676,0.7,0.0,200000,0.1,0.016066639,4846.413116693497,127511,26.310386035445863
141,1000.0,1000,0.8,0.9,0.0,200000,0.1,0.016008416,4883.343518733978,128511,26.31619084228757
142,1000.0,1000,0.715,0.55,0.0,200000,0.1,0.015955223,4920.846572160721,129511,26.318845361664593
143,1000.0,1000,0.591,0.6,0.0,200000,0.1,0.015904319,4958.880439043045,130511,26.318642199938996
144,1000.0,1000,0.498,0.65,0.0,200000,0.1,0.01582529,4996.599945068359,131511,26.320097953259367
145,1000.0,1000,0.712,0.65,0.0,200000,0.1,0.015744733,5034.043972969055,132511,26.322972284848355
146,1000.0,1000,0.697,0.7,0.0,200000,0.1,0.01567325,5070.934102296829,133511,26.32867974377655
147,1000.0,1000,0.798,0.85,0.0,200000,0.1,0.015601034,5108.287722826004,134511,26.331915366942148
148,1000.0,1000,0.649,0.85,0.0,200000,0.1,0.015527617,5146.710322141647,135511,26.329634173927783
149,1000.0,1000,0.761,0.9,0.0,200000,0.1,0.015449371,5184.278363704681,136511,26.331726502797853
150,1000.0,1000,0.724,0.75,0.0,200000,0.1,0.015377606,5222.019382715225,137511,26.33291642502238
151,1000.0,1000,0.824,0.9,0.0,200000,0.1,0.01530022,5258.694143533707,138511,26.339428802444967
152,1000.0,1000,0.67,0.65,0.0,200000,0.1,0.015243534,5296.043885469437,139511,26.34249318772624
153,1000.0,1000,0.388,0.35,0.0,200000,0.1,0.015233968,5333.976026535034,140511,26.34263807751581
154,1000.0,1000,0.592,0.4,0.0,200000,0.1,0.015210705,5371.353049993515,141511,26.34550338999004
155,1000.0,1000,0.683,0.7,0.0,200000,0.1,0.015163918,5408.777128458023,142511,26.34809987596298
156,1000.0,1000,0.677,0.6,0.0,200000,0.1,0.015089635,5445.990092515945,143511,26.351682164213255
157,1000.0,1000,0.716,0.7,0.0,200000,0.1,0.01503465,5483.794978618622,144511,26.352371040654187
158,1000.0,1000,0.837,0.9,0.0,200000,0.1,0.015021061,5521.406585693359,145511,26.353972982984132
159,1000.0,1000,0.376,0.45,0.0,200000,0.1,0.0149831455,5558.908202409744,146511,26.356074725492586
160,1000.0,1000,0.645,0.8,0.0,200000,0.1,0.014919613,5596.510156869888,147511,26.357675738347982
161,1000.0,1000,0.713,0.65,0.0,200000,0.1,0.014858017,5633.237673521042,148511,26.363347081771007
162,1000.0,1000,0.915,0.95,0.0,200000,0.1,0.014787475,5670.881518363953,149511,26.3646841330168
163,1000.0,1000,0.867,0.9,0.0,200000,0.1,0.01472832,5708.6483063697815,150511,26.365435720906802
164,1000.0,1000,0.675,0.65,0.0,200000,0.1,0.014671021,5746.417155742645,151511,26.36616797034743
165,1000.0,1000,0.332,0.35,0.0,200000,0.1,0.014600463,5784.219716310501,152511,26.36673699498073
166,1000.0,1000,0.255,0.35,0.0,200000,0.1,0.014538807,5822.494021654129,153511,26.365162318798017
167,1000.0,1000,0.436,0.25,0.0,200000,0.1,0.014501861,5859.8150470256805,154511,26.367897066282552
168,1000.0,1000,0.535,0.4,0.0,200000,0.1,0.014440788,5897.598342418671,155511,26.368530197946594
169,1000.0,1000,0.503,0.35,0.0,200000,0.1,0.014373045,5935.0484845638275,156511,26.370635453861443
170,1000.0,1000,0.287,0.15,0.0,200000,0.1,0.014309523,5972.658544063568,157511,26.372008180124897
171,1000.0,1000,0.389,0.35,0.0,200000,0.1,0.01424645,6010.830888271332,158511,26.37089662541012
172,1000.0,1000,0.55,0.55,0.0,200000,0.1,0.0141984215,6048.192497014999,159511,26.37333386233137
173,1000.0,1000,0.378,0.4,0.0,200000,0.1,0.014136645,6086.33269572258,160511,26.372367073187224
174,1000.0,1000,0.647,0.55,0.0,200000,0.1,0.014071672,6123.867313146591,161511,26.374020161150025
175,1000.0,1000,0.734,0.7,0.0,200000,0.1,0.014018734,6161.348147392273,162511,26.375883345628523
176,1000.0,1000,0.325,0.2,0.0,200000,0.1,0.0139681585,6198.909062862396,163511,26.37738323457834
177,1000.0,1000,0.33,0.4,0.0,200000,0.1,0.013904583,6236.09317278862,164511,26.380458955499495
178,1000.0,1000,0.295,0.35,0.0,200000,0.1,0.013860093,6273.693191289902,165511,26.381749145337203
179,1000.0,1000,0.298,0.4,0.0,200000,0.1,0.013796794,6311.979066848755,166511,26.380157193796162
180,1000.0,1000,0.343,0.35,0.0,200000,0.1,0.013736916,6350.017333984375,167511,26.379613024370563
181,1000.0,1000,0.305,0.3,0.0,200000,0.1,0.013683049,6387.717999458313,168511,26.38046952005564
182,1000.0,1000,0.293,0.15,0.0,200000,0.1,0.013629816,6424.987360715866,169511,26.383086916446846
183,1000.0,1000,0.299,0.4,0.0,200000,0.1,0.013573617,6463.2881326675415,170511,26.381463502967314
184,1000.0,1000,0.33,0.2,0.0,200000,0.1,0.013522085,6500.895804643631,171511,26.382671733472236
185,1000.0,1000,0.687,0.65,0.0,200000,0.1,0.013473958,6538.52858543396,172511,26.38376474666276
186,1000.0,1000,0.342,0.35,0.0,200000,0.1,0.013420831,6576.251215457916,173511,26.38448476231713
187,1000.0,1000,0.628,0.65,0.0,200000,0.1,0.013367739,6613.379187822342,174511,26.387569052256406
188,1000.0,1000,0.908,0.85,0.0,200000,0.1,0.013319053,6650.9828996658325,175511,26.388731203916276
189,1000.0,1000,0.647,0.55,0.0,200000,0.1,0.0132767465,6688.510813236237,176511,26.3901793552935
190,1000.0,1000,0.535,0.55,0.0,200000,0.1,0.013242396,6726.28254199028,177511,26.39065470012194
191,1000.0,1000,0.721,0.85,0.0,200000,0.1,0.013208056,6763.928868532181,178511,26.391614023561036
192,1000.0,1000,0.676,0.65,0.0,200000,0.1,0.013165794,6801.337690353394,179511,26.393484365335198
193,1000.0,1000,0.92,0.95,0.0,200000,0.1,0.013115492,6839.2865471839905,180511,26.393250046738533
194,1000.0,1000,0.688,0.65,0.0,200000,0.1,0.013060998,6876.769358873367,181511,26.394806995658527
195,1000.0,1000,0.955,0.95,0.0,200000,0.1,0.013009947,6914.607762098312,182511,26.39498960180149
196,1000.0,1000,0.965,0.95,0.0,200000,0.1,0.01298025,6952.575142621994,183511,26.394680563195518
197,1000.0,1000,0.949,1.0,0.0,200000,0.1,0.0129331285,6989.577444791794,184511,26.398019256314985
198,1000.0,1000,0.935,0.95,0.0,200000,0.1,0.0128944665,7027.443727731705,185511,26.398076907446267
199,1000.0,1000,0.953,1.0,0.0,200000,0.1,0.012851463,7065.386361122131,186511,26.39784867444824
200,1000.0,1000,0.961,0.9,0.0,200000,0.1,0.012810135,7103.254583358765,187511,26.397899410843646
201,1000.0,1000,0.966,0.95,0.0,200000,0.1,0.0127874175,7140.7418422698975,188511,26.399357959072773
202,1000.0,1000,0.956,0.95,0.0,200000,0.1,0.0127495015,7177.87318944931,189511,26.402110343726356
203,1000.0,1000,0.924,0.85,0.0,200000,0.1,0.012718283,7215.946928501129,190511,26.401385967605574
204,1000.0,1000,0.941,0.95,0.0,200000,0.1,0.012675332,7253.482407808304,191511,26.40262831201681
205,1000.0,1000,0.957,0.85,0.0,200000,0.1,0.012632483,7291.06952214241,192511,26.403670873864762
206,1000.0,1000,0.962,0.95,0.0,200000,0.1,0.01262598,7328.6648478508,193511,26.40467315651129
207,1000.0,1000,0.946,1.0,0.0,200000,0.1,0.012581513,7365.4171895980835,194511,26.40868737969276
208,1000.0,1000,0.955,0.95,0.0,200000,0.1,0.0125432275,7403.000991821289,195511,26.409695229962495
209,1000.0,1000,0.961,0.95,0.0,200000,0.1,0.012500727,7440.7651624679565,196511,26.41005268902047
210,1000.0,1000,0.506,0.35,0.0,200000,0.1,0.012474688,7478.754895925522,197511,26.40960998668539
211,1000.0,1000,0.952,1.0,0.0,200000,0.1,0.0124382535,7516.451418638229,198511,26.410201959819396
212,1000.0,1000,0.934,0.95,0.0,200000,0.1,0.012401231,7554.173365831375,199511,26.4106991361654
213,1000.0,1000,0.78,0.65,0.0,200000,0.1,0.01235857,7591.375428438187,200511,26.41300010486472
214,1000.0,1000,0.955,1.0,0.0,200000,0.1,0.012319477,7628.979693889618,201511,26.413886006605345
215,1000.0,1000,0.931,0.65,0.0,200000,0.1,0.012289447,7666.500073671341,202511,26.415052245662558
216,1000.0,1000,0.938,0.85,0.0,200000,0.1,0.012260263,7704.175851106644,203511,26.415674293295538
217,1000.0,1000,0.924,0.85,0.0,200000,0.1,0.012220328,7741.639130353928,204511,26.41701538105088
218,1000.0,1000,0.942,0.95,0.0,200000,0.1,0.012184432,7778.853677749634,205511,26.419188287683223
219,1000.0,1000,0.945,0.95,0.0,200000,0.1,0.012158155,7816.521386623383,206511,26.41980873241257
220,1000.0,1000,0.949,0.8,0.0,200000,0.1,0.012122167,7854.302450895309,207511,26.420041917757807
221,1000.0,1000,0.947,0.9,0.0,200000,0.1,0.012097617,7892.076753139496,208511,26.42029550770086
222,1000.0,1000,0.92,0.9,0.0,200000,0.1,0.012061838,7929.8355050086975,209511,26.420598492247272
223,1000.0,1000,0.951,1.0,0.0,200000,0.1,0.012033533,7966.948601007462,210511,26.423039800731342
224,1000.0,1000,0.913,1.0,0.0,200000,0.1,0.012006279,8004.471420764923,211511,26.42410583569647
225,1000.0,1000,0.884,0.85,0.0,200000,0.1,0.011989827,8041.987067461014,212511,26.42518549189764
226,1000.0,1000,0.963,0.8,0.0,200000,0.1,0.011967525,8079.825077533722,213511,26.42520078572931
227,1000.0,1000,0.881,0.9,0.0,200000,0.1,0.011936062,8117.620720148087,214511,26.42535385460657
228,1000.0,1000,0.92,0.95,0.0,200000,0.1,0.01191978,8154.518505334854,215511,26.42841509850106
229,1000.0,1000,0.922,0.95,0.0,200000,0.1,0.011884566,8192.341708898544,216511,26.42846303056708
230,1000.0,1000,0.922,0.95,0.0,200000,0.1,0.011865868,8230.128338813782,217511,26.42862796626169
231,1000.0,1000,0.94,1.0,0.0,200000,0.1,0.011842483,8267.688155651093,218511,26.429516434015536
232,1000.0,1000,0.909,0.9,0.0,200000,0.1,0.011815154,8305.365876436234,219511,26.430021657467016
233,1000.0,1000,0.927,1.0,0.0,200000,0.1,0.0117868055,8342.830427885056,220511,26.43119764850562
234,1000.0,1000,0.925,0.95,0.0,200000,0.1,0.011760097,8380.531046628952,221511,26.431618562393503
235,1000.0,1000,0.782,0.8,0.0,200000,0.1,0.011752009,8417.988834619522,222511,26.432798184051155
236,1000.0,1000,0.923,0.95,0.0,200000,0.1,0.011723496,8455.692478895187,223511,26.43319876390505
237,1000.0,1000,0.937,0.9,0.0,200000,0.1,0.011696106,8493.358496904373,224511,26.433712890245012
