# Model: log-polar (binary maps), Actions: basic, Environment: 2km x 2km, 
# Num drones: 16, Num users: 20, Num obstacles: 0
# Max steps: 3000, Time step: 0.10
episode,steps,duration,reward,loss,epsilon,area_coverage,user_coverage,direct_conn,global_conn
0,3000,164.33666253089905,11.753124999999937,0.00013783653,0.9762400000001081,58.3,65.0,87.5,37.5
1,3000,177.24312257766724,60.350000000001025,0.00010678195,0.9462400000002447,72.3,70.0,50.0,25.0
2,3000,176.8749701976776,22.50624999999973,9.6373566e-05,0.9162400000003812,69.3,65.0,50.0,25.0
3,3000,180.7167513370514,69.30624999999948,9.710165e-05,0.8862400000005177,66.9,75.0,62.5,37.5
4,3000,182.92965841293335,46.80312500000011,0.00010019565,0.8562400000006543,75.7,65.0,31.25,18.75
5,3000,182.0977532863617,-21.931249999999963,0.0001014386,0.8262400000007908,75.4,75.0,31.25,18.75
6,3000,179.97626399993896,56.46249999999953,0.000100200705,0.7962400000009273,80.5,95.0,25.0,25.0
7,3000,180.95850443840027,5.537500000000155,9.545869e-05,0.7662400000010638,85.39999999999999,85.0,0.0,6.25
8,3000,179.73728370666504,115.9874999999964,9.096865e-05,0.7362400000012004,88.7,100.0,0.0,6.25
9,3000,181.1936604976654,-33.381249999999795,8.635131e-05,0.7062400000013369,75.8,60.0,0.0,6.25
10,3000,183.74717593193054,64.20000000000044,8.258244e-05,0.6762400000014734,85.9,85.0,0.0,6.25
11,3000,189.84328722953796,59.71249999999978,7.864193e-05,0.64624000000161,84.7,80.0,0.0,6.25
12,3000,185.05019307136536,51.98437499999795,7.533516e-05,0.6162400000017465,80.9,80.0,18.75,18.75
13,3000,178.64552116394043,75.66562500000127,7.193402e-05,0.586240000001883,85.3,85.0,0.0,6.25
14,3000,181.6183226108551,32.75937499999975,6.934458e-05,0.5562400000020196,80.5,75.0,12.5,12.5
15,3000,178.9928240776062,121.17812499999896,6.7082845e-05,0.5262400000021561,88.0,90.0,0.0,6.25
16,3000,181.26987743377686,91.40000000000104,6.481261e-05,0.49624000000227175,86.3,80.0,0.0,6.25
17,3000,180.39360857009888,123.17499999999967,6.3447456e-05,0.46624000000224175,89.4,85.0,0.0,6.25
18,3000,180.40635299682617,74.45625000000078,6.143822e-05,0.43624000000221175,79.4,65.0,0.0,6.25
19,3000,179.67081999778748,119.75624999999879,5.9795468e-05,0.40624000000218174,82.89999999999999,75.0,0.0,6.25
20,3000,179.93436074256897,58.41874999999978,5.900188e-05,0.37624000000215174,84.2,85.0,0.0,6.25
21,3000,180.0196886062622,89.1249999999989,5.855126e-05,0.34624000000212174,86.0,80.0,0.0,6.25
22,3000,179.24686932563782,114.94374999999866,5.83919e-05,0.31624000000209174,86.3,95.0,0.0,6.25
23,3000,181.90665006637573,128.74687499999936,5.8461115e-05,0.28624000000206173,85.39999999999999,90.0,0.0,6.25
24,3000,179.3104944229126,94.8125000000004,5.8097456e-05,0.25624000000203173,90.8,100.0,0.0,6.25
25,3000,179.0899682044983,90.14062499999883,5.8221955e-05,0.22624000000200173,85.7,75.0,0.0,6.25
26,3000,178.73908972740173,93.04687499999935,5.7783287e-05,0.19624000000197173,84.2,85.0,0.0,6.25
27,3000,180.95838499069214,103.17499999999916,5.7416997e-05,0.16624000000194172,85.9,75.0,0.0,6.25
28,3000,180.76884770393372,111.0999999999996,5.737219e-05,0.13624000000191172,87.8,80.0,0.0,6.25
29,3000,178.89569067955017,126.09374999999886,5.6791563e-05,0.10624000000190775,82.39999999999999,100.0,0.0,6.25
30,3000,180.74133205413818,124.42500000000187,5.6178225e-05,0.1,87.5,90.0,0.0,6.25
31,3000,178.66620755195618,98.28437500000067,5.587559e-05,0.1,87.8,90.0,0.0,6.25
32,3000,179.12694191932678,105.31874999999849,5.5473472e-05,0.1,85.8,70.0,0.0,6.25
33,3000,178.85783123970032,102.73124999999807,5.4631637e-05,0.1,88.0,70.0,0.0,6.25
34,3000,179.2384147644043,98.75937500000153,5.396859e-05,0.1,87.4,85.0,0.0,6.25
35,3000,180.87661814689636,106.17187499999969,5.345362e-05,0.1,79.7,85.0,0.0,6.25
36,3000,180.1964726448059,86.18749999999989,5.272011e-05,0.1,86.7,80.0,0.0,6.25
37,3000,179.01415872573853,101.35937500000128,5.214989e-05,0.1,81.2,80.0,0.0,6.25
38,3000,180.23862671852112,121.87500000000203,5.1751013e-05,0.1,86.5,95.0,12.5,12.5
