# Model: log-polar (binary maps), Actions: basic, Environment: 2km x 2km, 
# Num drones: 16, Num users: 20, Num obstacles: 0
# Max steps: 3000, Time step: 0.10
episode,steps,duration,reward,loss,epsilon,area_coverage,user_coverage,direct_conn,global_conn
0,3000,165.20487689971924,63.79374999999809,0.00026106543,0.9762400000001081,73.1,85.0,62.5,18.75
1,3000,174.96746277809143,69.82187500000131,0.00012422058,0.9462400000002447,78.4,70.0,50.0,18.75
2,3000,178.15084218978882,119.30937500000438,0.00010215113,0.9162400000003812,71.8,80.0,56.25,31.25
3,3000,181.3407747745514,24.41249999999995,8.609009e-05,0.8862400000005177,78.10000000000001,85.0,50.0,12.5
4,3000,186.95494389533997,66.19999999999904,7.725482e-05,0.8562400000006543,72.3,60.0,62.5,12.5
5,3000,181.4349386692047,66.55625000000043,7.251668e-05,0.8262400000007908,86.4,85.0,18.75,18.75
6,3000,181.07989501953125,-13.85312500000067,6.696767e-05,0.7962400000009273,73.4,75.0,25.0,12.5
7,3000,179.62765455245972,76.1843749999998,6.306759e-05,0.7662400000010638,83.8,90.0,0.0,6.25
8,3000,178.0958743095398,39.90625000000097,5.9887803e-05,0.7362400000012004,81.69999999999999,60.0,0.0,6.25
9,3000,178.54269289970398,26.806249999999793,5.7411224e-05,0.7062400000013369,76.1,85.0,0.0,6.25
10,3000,176.05573272705078,-22.228124999999814,5.5541233e-05,0.6762400000014734,81.6,80.0,12.5,12.5
11,3000,174.0397126674652,15.60312500000002,5.4154596e-05,0.64624000000161,79.4,60.0,0.0,6.25
12,3000,174.56075024604797,51.109375000000476,5.3987653e-05,0.6162400000017465,84.6,80.0,0.0,6.25
13,3000,175.27818083763123,87.55312499999967,5.410805e-05,0.586240000001883,86.0,85.0,0.0,6.25
14,3000,175.89795851707458,60.87500000000091,5.344129e-05,0.5562400000020196,85.1,85.0,0.0,6.25
15,3000,175.71002864837646,89.51875000000157,5.310857e-05,0.5262400000021561,86.0,95.0,12.5,12.5
16,3000,175.13723015785217,82.56874999999835,5.1958374e-05,0.49624000000227175,86.8,90.0,12.5,12.5
17,3000,177.44935536384583,108.74062500000127,5.062077e-05,0.46624000000224175,86.7,85.0,0.0,6.25
18,3000,176.197655916214,95.46562500000339,4.943207e-05,0.43624000000221175,82.8,85.0,12.5,12.5
19,3000,180.7609567642212,122.59999999999853,4.8830203e-05,0.40624000000218174,88.3,95.0,12.5,12.5
20,3000,180.79175472259521,107.68125000000109,4.7952453e-05,0.37624000000215174,83.1,90.0,0.0,6.25
21,3000,174.4648997783661,113.94687500000057,4.7228976e-05,0.34624000000212174,87.9,80.0,0.0,6.25
22,3000,176.89476680755615,94.88125000000008,4.6718076e-05,0.31624000000209174,88.9,80.0,0.0,6.25
23,3000,175.61212921142578,63.515624999999964,4.609979e-05,0.28624000000206173,83.0,65.0,0.0,6.25
24,3000,174.93188905715942,79.26250000000056,4.553333e-05,0.25624000000203173,83.7,95.0,18.75,18.75
25,3000,178.37484765052795,113.48125000000118,4.5445537e-05,0.22624000000200173,88.2,90.0,0.0,6.25
26,3000,175.73101162910461,127.13124999999886,4.4908127e-05,0.19624000000197173,87.6,95.0,0.0,6.25
27,3000,176.19698452949524,90.89375000000028,4.472316e-05,0.16624000000194172,84.7,80.0,0.0,6.25
28,3000,175.16204190254211,121.54062499999797,4.4396093e-05,0.13624000000191172,87.9,95.0,0.0,6.25
29,3000,175.4059875011444,99.0562499999992,4.3772976e-05,0.10624000000190775,86.9,80.0,0.0,6.25
30,3000,176.73180961608887,111.05312500000159,4.3101558e-05,0.1,79.3,95.0,12.5,12.5
31,3000,176.4237825870514,142.00624999999835,4.254217e-05,0.1,89.9,90.0,0.0,6.25
