# num_drones=16, num_users=20, num_obstacles=2, episode_steps=5000
# SDQNConfig(displacement=1.0, obstacle_distance=10.0, agent_mass=1.0, max_acceleration=10.0, max_displacement=100.0, target_velocity=20.0, target_height=0.0)
episode,steps,cumulative_reward,mean_loss,mean_area_coverage,mean_user_coverage,mean_direct_conn,mean_global_conn
86,5000,58.5500,0.000133,0.289622,0.549080,0.835462,0.835462
87,5000,52.6875,0.000132,0.376543,0.389660,0.836638,0.727825
88,5000,-2.5531,0.000131,0.282106,0.461270,0.812300,0.740275
89,5000,52.2469,0.000130,0.382829,0.446120,0.797325,0.672087
90,2852,33.2906,0.000130,0.335591,0.472230,0.861040,0.841887
91,5000,0.3344,0.000129,0.269594,0.353740,0.913325,0.805950
92,7,-4.6250,0.000129,0.087429,0.000000,1.000000,1.000000
93,5000,31.7625,0.000129,0.316448,0.483970,0.850213,0.824900
94,5000,22.2125,0.000128,0.313138,0.339180,0.887375,0.836413
95,1,-10.0000,0.000127,0.090000,0.000000,1.000000,1.000000
96,5000,7.0844,0.000127,0.278210,0.281380,0.917400,0.654250
97,5000,-19.7344,0.000127,0.243681,0.179710,0.982325,0.930288
98,5000,70.1344,0.000126,0.417429,0.477870,0.790488,0.754075
99,5000,105.7719,0.000125,0.455992,0.656660,0.759700,0.587263
100,5000,93.0625,0.000124,0.523747,0.661630,0.668037,0.594250
101,5000,-14.7188,0.000123,0.350556,0.454490,0.803300,0.731437
102,5000,35.7250,0.000122,0.446379,0.682290,0.658775,0.560050
103,5000,45.7000,0.000123,0.322647,0.539640,0.878313,0.833287
104,5000,131.1938,0.000123,0.489223,0.605150,0.685300,0.654487
105,5000,-72.4813,0.000123,0.169900,0.145860,0.952887,0.865750
106,4594,-97.3313,0.000122,0.379253,0.372867,0.832526,0.808609
107,5000,76.3531,0.000122,0.414120,0.644690,0.733400,0.678050
108,5000,-16.8781,0.000122,0.278095,0.325270,0.934525,0.631000
109,5000,44.8125,0.000122,0.332568,0.369160,0.806025,0.723925
110,5000,25.6187,0.000121,0.330335,0.414020,0.850175,0.686787
111,3991,49.5344,0.000120,0.390248,0.385781,0.825044,0.794428
112,4416,47.4625,0.000120,0.332370,0.548709,0.867301,0.809952
113,5000,28.2031,0.000119,0.343573,0.426700,0.860875,0.782250
114,5000,1.6000,0.000118,0.279177,0.273260,0.894962,0.875350
115,5000,88.2781,0.000117,0.341084,0.441870,0.851450,0.812037
116,5000,102.5656,0.000116,0.373996,0.552830,0.787037,0.773687
117,4664,95.3719,0.000115,0.543831,0.710645,0.657188,0.525970
118,5000,91.8281,0.000115,0.449455,0.572640,0.789075,0.665150
119,5000,28.5875,0.000114,0.296482,0.279390,0.875188,0.807512
120,5000,106.9969,0.000113,0.465589,0.592400,0.720375,0.607300
121,5000,-37.2625,0.000112,0.244310,0.283070,0.902737,0.782375
122,2096,31.5813,0.000112,0.299795,0.371732,0.878399,0.878399
123,5000,61.6500,0.000112,0.303832,0.512240,0.854675,0.805713
124,5000,101.8281,0.000112,0.416355,0.611610,0.819762,0.726712
125,5000,89.0688,0.000112,0.338183,0.471760,0.826325,0.826325
126,5000,100.8594,0.000111,0.362758,0.494430,0.858675,0.794275
127,5000,73.0625,0.000111,0.367318,0.445850,0.858613,0.837662
128,3507,67.6437,0.000110,0.436624,0.583961,0.802003,0.762243
129,1,-10.0000,0.000110,0.097000,0.050000,1.000000,1.000000
130,2789,11.3250,0.000110,0.259726,0.323395,0.965086,0.950094
131,5000,105.4313,0.000110,0.503497,0.623400,0.704875,0.599150
132,5000,73.2125,0.000109,0.443202,0.397460,0.806137,0.703887
133,1,-10.0000,0.000109,0.080000,0.150000,1.000000,1.000000
134,1,-10.0000,0.000109,0.082000,0.000000,1.000000,1.000000
135,5000,88.8688,0.000109,0.442791,0.487500,0.787375,0.694550
136,4592,48.2063,0.000109,0.368912,0.393772,0.843832,0.781781
137,5000,68.5188,0.000109,0.418688,0.508560,0.782425,0.743487
138,5000,42.2563,0.000108,0.394941,0.497110,0.803238,0.782763
139,5000,99.9188,0.000108,0.373543,0.460190,0.798225,0.771250
140,5000,69.8500,0.000107,0.376505,0.379080,0.810512,0.765425
141,5000,100.4906,0.000107,0.418121,0.539830,0.768713,0.751587
142,612,-1.8875,0.000106,0.182436,0.193954,0.987745,0.987745
143,2514,26.6531,0.000106,0.327792,0.308194,0.879947,0.861028
144,5000,103.0813,0.000106,0.464411,0.593840,0.720562,0.629675
145,5000,103.9719,0.000105,0.466705,0.587540,0.754325,0.746500
146,5000,81.0094,0.000105,0.427581,0.479550,0.794488,0.750313
147,5000,145.0938,0.000104,0.562967,0.738360,0.626600,0.606575
148,5000,123.8219,0.000104,0.576203,0.742100,0.564362,0.540675
149,5000,135.7719,0.000103,0.535806,0.687190,0.630888,0.599812
150,5000,114.7156,0.000103,0.589310,0.650990,0.651362,0.427550
151,5000,134.3875,0.000103,0.512992,0.732590,0.676037,0.641863
152,5000,110.7906,0.000102,0.522839,0.735140,0.722025,0.570063
153,5000,109.0500,0.000102,0.379110,0.513420,0.814875,0.692825
154,5000,135.7937,0.000101,0.511994,0.628920,0.707150,0.565150
155,5000,29.7437,0.000101,0.331077,0.342090,0.860350,0.851275
156,5000,86.3844,0.000100,0.405271,0.455820,0.821725,0.777775
157,3261,72.7531,0.000100,0.518433,0.639497,0.724624,0.595044
158,5000,141.2188,0.000100,0.533313,0.650390,0.612912,0.608038
159,4796,103.4313,0.000100,0.571775,0.701804,0.608815,0.502828
160,1,-10.0000,0.000100,0.086000,0.000000,1.000000,1.000000
161,4042,73.3125,0.000100,0.390827,0.477610,0.836900,0.750541
162,5000,63.4750,0.000100,0.457271,0.512750,0.734100,0.618175
163,5000,71.6313,0.000100,0.384691,0.453660,0.833187,0.828363
164,5000,100.1187,0.000099,0.396156,0.621170,0.753550,0.752775
165,1,-10.0000,0.000099,0.092000,0.050000,1.000000,1.000000
166,5000,79.7687,0.000099,0.443127,0.451970,0.820200,0.707275
167,5000,158.4438,0.000099,0.519923,0.782340,0.695000,0.594375
168,5000,56.9156,0.000098,0.424620,0.563590,0.805063,0.677662
169,3066,23.0719,0.000098,0.316529,0.393477,0.880789,0.880789
170,5000,92.6500,0.000098,0.474874,0.515220,0.786550,0.623950
171,5000,71.8625,0.000098,0.371346,0.514330,0.843800,0.796825
172,4784,91.5188,0.000098,0.437669,0.631041,0.811194,0.682287
173,5000,88.9687,0.000097,0.421311,0.606360,0.875838,0.659338
174,5000,34.8875,0.000097,0.391609,0.508610,0.856725,0.590050
175,2436,40.8594,0.000097,0.308121,0.362397,0.865815,0.830152
176,5000,92.4719,0.000096,0.396224,0.363020,0.814887,0.759563
177,1,-10.0000,0.000096,0.089000,0.100000,1.000000,1.000000
178,5000,75.7406,0.000096,0.384702,0.553880,0.859050,0.844512
179,5000,93.6687,0.000096,0.422912,0.515110,0.818900,0.759275
180,5000,129.7094,0.000096,0.535160,0.663350,0.701887,0.537200
181,5000,75.5125,0.000095,0.421490,0.514130,0.838225,0.769575
182,4813,71.1906,0.000095,0.381635,0.459433,0.850068,0.842263
183,2291,11.3406,0.000095,0.248560,0.344566,0.952286,0.952286
184,5000,56.7937,0.000094,0.391855,0.515550,0.898350,0.808300
185,5000,79.1937,0.000094,0.443125,0.536720,0.840762,0.693237
186,5000,68.8250,0.000094,0.428708,0.538490,0.866912,0.778737
187,5000,86.8031,0.000093,0.443158,0.623270,0.801800,0.698825
188,5000,91.0406,0.000093,0.399216,0.527730,0.794312,0.783800
189,5000,91.9125,0.000093,0.509555,0.577850,0.724738,0.571775
190,5000,90.9469,0.000092,0.401720,0.579650,0.768400,0.767300
191,1,-1.3750,0.000092,0.084000,0.050000,1.000000,1.000000
192,5000,120.1594,0.000092,0.467691,0.636830,0.780462,0.704425
193,5000,95.9531,0.000092,0.514932,0.617450,0.787538,0.482438
194,5000,97.1063,0.000091,0.422143,0.604730,0.831950,0.642900
195,5000,72.4750,0.000091,0.401487,0.408330,0.845900,0.773650
196,5000,92.7563,0.000091,0.407735,0.634080,0.841775,0.827150
197,1,-10.0000,0.000090,0.080000,0.050000,1.000000,1.000000
198,122,-6.3125,0.000090,0.095549,0.050000,1.000000,1.000000
199,5000,49.9531,0.000090,0.328803,0.319010,0.910438,0.857712
200,5000,92.7531,0.000090,0.337261,0.591240,0.918625,0.875750
201,5000,15.2406,0.000090,0.235681,0.299290,0.950325,0.949013
202,5000,103.6563,0.000090,0.363083,0.553730,0.862900,0.851163
