# Model: log-polar (binary maps), Actions: basic, Environment: 2km x 2km, 
# Num drones: 16, Num users: 20, Num obstacles: 0
# Max steps: 1000, Time step: 0.10
episode,steps,duration,reward,loss,epsilon,area_coverage,user_coverage,direct_conn,global_conn
0,1000,48.14524292945862,8.559375000000006,0.000449991,0.9962400000000171,74.3,65.0,62.5,18.75
1,1000,56.22896718978882,14.72812499999988,0.00010497689,0.9862400000000626,67.60000000000001,55.00000000000001,81.25,18.75
2,1000,56.32585048675537,20.871875000000216,5.5816083e-05,0.9762400000001081,59.199999999999996,60.0,75.0,31.25
3,1000,59.49510908126831,20.22812500000033,4.407958e-05,0.9662400000001536,64.60000000000001,75.0,93.75,25.0
4,1000,60.889249324798584,28.534374999999905,4.1736686e-05,0.9562400000001992,71.0,75.0,56.25,25.0
5,1000,59.226163387298584,14.418749999999967,4.2843596e-05,0.9462400000002447,78.5,70.0,56.25,18.75
6,1000,60.53671479225159,22.3874999999997,5.3243482e-05,0.9362400000002902,69.6,70.0,62.5,25.0
7,1000,59.991008281707764,13.83437500000011,5.5613324e-05,0.9262400000003357,61.0,55.00000000000001,62.5,31.25
8,1000,61.21269226074219,16.734374999999854,5.3023694e-05,0.9162400000003812,78.10000000000001,80.0,43.75,18.75
9,1000,61.80043292045593,13.15624999999993,5.2243853e-05,0.9062400000004267,66.10000000000001,50.0,81.25,18.75
10,1000,60.81745362281799,22.72812499999984,5.4261902e-05,0.8962400000004722,70.39999999999999,75.0,62.5,31.25
11,1000,61.19328832626343,16.73750000000025,5.5890465e-05,0.8862400000005177,57.8,70.0,87.5,43.75
12,1000,60.70108413696289,28.131249999999827,5.465163e-05,0.8762400000005632,65.3,85.0,56.25,25.0
13,1000,63.09797525405884,11.771874999999902,5.6647652e-05,0.8662400000006087,63.3,75.0,68.75,25.0
14,1000,62.41843032836914,22.209375000000232,5.966156e-05,0.8562400000006543,69.39999999999999,55.00000000000001,56.25,18.75
15,1000,62.63559317588806,12.39999999999997,6.234658e-05,0.8462400000006998,66.8,65.0,75.0,25.0
16,1000,60.97639274597168,-5.271874999999919,6.358272e-05,0.8362400000007453,58.8,45.0,68.75,18.75
17,1000,61.61185383796692,13.21249999999998,6.26854e-05,0.8262400000007908,64.60000000000001,80.0,68.75,31.25
18,1000,60.445666790008545,31.012500000000152,6.314595e-05,0.8162400000008363,78.4,95.0,50.0,18.75
19,1000,62.315451860427856,21.64687499999958,6.320366e-05,0.8062400000008818,75.4,80.0,50.0,12.5
20,1000,61.19087886810303,26.456250000000026,6.3176856e-05,0.7962400000009273,68.2,55.00000000000001,31.25,18.75
21,1000,60.2341251373291,16.121874999999896,6.418622e-05,0.7862400000009728,72.2,70.0,50.0,12.5
22,1000,61.359055519104004,19.565625000000203,6.486643e-05,0.7762400000010183,59.5,55.00000000000001,75.0,25.0
23,1000,62.00760865211487,10.818750000000094,6.499806e-05,0.7662400000010638,67.0,65.0,56.25,25.0
24,1000,60.7755823135376,21.581250000000058,6.515079e-05,0.7562400000011094,69.39999999999999,55.00000000000001,50.0,18.75
25,1000,59.83609437942505,19.262500000000127,6.5592976e-05,0.7462400000011549,70.7,80.0,62.5,12.5
26,1000,61.65835618972778,2.671875000000151,6.5951586e-05,0.7362400000012004,60.199999999999996,50.0,62.5,37.5
27,1000,60.0385582447052,0.19062500000000854,6.65514e-05,0.7262400000012459,63.2,70.0,50.0,25.0
28,1000,62.08591318130493,21.809374999999942,6.699713e-05,0.7162400000012914,72.6,70.0,56.25,37.5
29,1000,63.89584708213806,21.146875000000236,6.707243e-05,0.7062400000013369,64.8,45.0,68.75,18.75
30,1000,61.27866196632385,20.78437500000021,6.688578e-05,0.6962400000013824,70.5,55.00000000000001,62.5,31.25
31,1000,62.65790367126465,-12.449999999999886,6.801025e-05,0.6862400000014279,70.5,60.0,31.25,18.75
32,1000,63.391390323638916,27.887499999999445,6.940071e-05,0.6762400000014734,71.7,75.0,43.75,18.75
33,1000,62.165488481521606,37.700000000000095,6.96581e-05,0.666240000001519,68.10000000000001,90.0,43.75,18.75
34,1000,60.78680205345154,21.724999999999735,6.970571e-05,0.6562400000015645,74.9,75.0,50.0,25.0
