# Model: zoom-grid (binary maps), Actions: basic, Environment: 2km x 2km, 
# Num drones: 16, Num users: 20, Num obstacles: 0
# Max steps: 1000, Time step: 0.10
episode,steps,duration,reward,loss,epsilon,area_coverage,user_coverage,direct_conn,global_conn
0,1000,81.1126720905304,9.156249999999986,0.0005798249,0.9962400000000171,61.199999999999996,70.0,75.0,43.75
1,1000,77.38441038131714,15.646874999999891,0.0001301102,0.9862400000000626,72.5,65.0,75.0,18.75
2,1000,54.571171045303345,14.046874999999837,7.951203e-05,0.9762400000001081,63.1,45.0,68.75,18.75
3,1000,55.11920738220215,17.63750000000016,6.693087e-05,0.9662400000001536,59.099999999999994,65.0,87.5,31.25
