# Model: fixed-grid (binary maps), Actions: basic, Environment: 2km x 2km, 
# Num drones: 16, Num users: 20, Num obstacles: 0
# Max steps: 1000, Time step: 0.10
episode,steps,duration,reward,loss,epsilon,area_coverage,user_coverage,direct_conn,global_conn
0,1000,41.647793769836426,20.418749999999886,0.00069550925,0.9962400000000171,75.8,60.0,37.5,12.5
1,1000,46.25485968589783,16.153125000000088,0.00021514297,0.9862400000000626,67.9,70.0,62.5,37.5
2,1000,47.35493612289429,22.474999999999746,0.00013349761,0.9762400000001081,63.2,75.0,68.75,31.25
3,1000,47.477774143218994,8.893750000000072,0.00010933661,0.9662400000001536,65.3,40.0,68.75,37.5
4,1000,48.30932092666626,12.08125,9.550809e-05,0.9562400000001992,68.8,65.0,68.75,25.0
5,1000,47.814677000045776,28.834374999999767,9.079633e-05,0.9462400000002447,63.0,65.0,68.75,37.5
6,1000,48.290771484375,14.571874999999917,8.834816e-05,0.9362400000002902,70.1,65.0,62.5,18.75
7,1000,47.02477979660034,25.68749999999995,8.6914915e-05,0.9262400000003357,63.9,80.0,56.25,25.0
8,1000,47.98185849189758,16.293750000000035,8.425984e-05,0.9162400000003812,71.2,80.0,56.25,18.75
9,1000,48.76073217391968,17.42500000000034,8.26353e-05,0.9062400000004267,68.30000000000001,60.0,75.0,37.5
10,1000,50.72125506401062,20.221874999999986,8.0073296e-05,0.8962400000004722,70.89999999999999,60.0,62.5,37.5
11,1000,50.462762117385864,8.962500000000102,7.796672e-05,0.8862400000005177,60.199999999999996,70.0,81.25,31.25
12,1000,49.56158399581909,17.215625000000014,7.6572316e-05,0.8762400000005632,62.7,65.0,68.75,18.75
13,1000,51.128089427948,17.94062500000011,7.760593e-05,0.8662400000006087,64.1,60.0,62.5,25.0
14,1000,49.12547945976257,30.584375000000243,7.823347e-05,0.8562400000006543,73.7,75.0,56.25,31.25
15,1000,52.366992473602295,19.77812499999983,7.8342586e-05,0.8462400000006998,63.6,65.0,87.5,25.0
16,1000,50.88874578475952,22.415624999999913,7.998265e-05,0.8362400000007453,72.1,60.0,50.0,12.5
17,1000,50.15247058868408,7.009375000000032,8.0103266e-05,0.8262400000007908,66.7,70.0,68.75,25.0
18,1000,52.200430154800415,10.921875000000043,8.036809e-05,0.8162400000008363,65.4,65.0,56.25,18.75
19,1000,50.89601922035217,7.2062500000000425,8.123813e-05,0.8062400000008818,58.699999999999996,60.0,62.5,18.75
20,1000,50.548778772354126,18.46562500000022,8.107625e-05,0.7962400000009273,70.8,70.0,75.0,37.5
21,1000,51.16457271575928,32.16250000000027,8.0843914e-05,0.7862400000009728,72.6,75.0,31.25,18.75
22,1000,51.25674915313721,16.256250000000186,8.045665e-05,0.7762400000010183,70.8,55.00000000000001,31.25,18.75
23,1000,51.93332004547119,27.953125000000227,8.115952e-05,0.7662400000010638,70.7,65.0,43.75,18.75
24,1000,51.33795237541199,9.434374999999921,8.27536e-05,0.7562400000011094,46.6,50.0,87.5,37.5
25,1000,55.45029377937317,33.35937500000015,8.281337e-05,0.7462400000011549,76.5,75.0,43.75,18.75
26,1000,52.28940439224243,16.62187500000009,8.3102124e-05,0.7362400000012004,63.1,65.0,93.75,18.75
27,1000,52.72126364707947,22.18749999999984,8.3559484e-05,0.7262400000012459,77.2,95.0,50.0,31.25
28,1000,51.881922245025635,23.784374999999745,8.542484e-05,0.7162400000012914,76.0,70.0,68.75,18.75
29,1000,52.20314693450928,16.537500000000072,8.510136e-05,0.7062400000013369,77.2,60.0,25.0,12.5
30,1000,51.41078996658325,32.40312500000009,8.4194886e-05,0.6962400000013824,72.1,80.0,50.0,25.0
31,1000,50.87025809288025,10.403124999999957,8.40557e-05,0.6862400000014279,64.7,50.0,75.0,25.0
32,1000,51.044318199157715,26.471874999999944,8.2941755e-05,0.6762400000014734,73.5,85.0,56.25,18.75
33,1000,50.60642075538635,15.856250000000076,8.2104954e-05,0.666240000001519,71.8,60.0,56.25,18.75
34,1000,50.85143518447876,3.5531250000000716,8.161445e-05,0.6562400000015645,73.8,70.0,43.75,18.75
35,1000,50.214595794677734,5.390624999999951,8.265469e-05,0.64624000000161,72.3,65.0,37.5,18.75
36,1000,49.850064277648926,27.581249999999923,8.480952e-05,0.6362400000016555,75.2,75.0,50.0,25.0
37,1000,49.22938370704651,19.265624999999975,8.617066e-05,0.626240000001701,73.5,70.0,43.75,18.75
38,1000,49.21184182167053,13.093750000000037,8.7633525e-05,0.6162400000017465,59.8,40.0,68.75,31.25
39,1000,48.63559865951538,19.478124999999967,8.833158e-05,0.606240000001792,73.3,65.0,56.25,18.75
40,1000,49.609124183654785,32.07187500000033,8.868571e-05,0.5962400000018375,69.89999999999999,70.0,31.25,31.25
41,1000,49.86581993103027,38.75624999999969,8.920886e-05,0.586240000001883,73.5,90.0,43.75,25.0
42,1000,49.856016874313354,26.581249999999702,8.991392e-05,0.5762400000019285,76.6,70.0,50.0,12.5
43,1000,50.164867639541626,30.925000000000058,9.0408e-05,0.566240000001974,73.3,80.0,37.5,25.0
44,1000,49.00355863571167,1.6374999999999775,9.058664e-05,0.5562400000020196,74.2,70.0,43.75,18.75
45,1000,49.76185369491577,24.78749999999994,9.1528746e-05,0.5462400000020651,72.1,70.0,37.5,12.5
46,1000,49.7633376121521,26.762499999999964,9.193021e-05,0.5362400000021106,79.0,85.0,50.0,12.5
47,1000,49.72823691368103,29.29374999999974,9.236088e-05,0.5262400000021561,77.5,70.0,43.75,18.75
48,1000,49.394317626953125,33.65937499999997,9.20604e-05,0.5162400000022016,77.10000000000001,70.0,43.75,18.75
49,1000,49.05124878883362,37.309374999999754,9.108841e-05,0.5062400000022471,73.7,90.0,81.25,18.75
50,1000,49.39935302734375,44.35312500000009,9.015471e-05,0.49624000000227175,79.7,90.0,43.75,18.75
51,1000,49.37110233306885,16.18750000000008,9.002115e-05,0.48624000000226175,68.30000000000001,70.0,62.5,18.75
52,1000,49.50350618362427,22.609374999999904,8.948501e-05,0.47624000000225175,72.0,75.0,50.0,12.5
53,1000,52.16370606422424,21.91874999999995,8.8943154e-05,0.46624000000224175,79.2,80.0,50.0,12.5
54,1000,52.5995032787323,-10.815625000000011,8.844345e-05,0.45624000000223175,79.7,80.0,25.0,12.5
