# Model: log-polar (binary maps), Actions: basic, Environment: 2km x 2km, 
# Num drones: 16, Num users: 20, Num obstacles: 0
# Max steps: 1000, Time step: 0.10
episode,steps,duration,reward,loss,epsilon,area_coverage,user_coverage,direct_conn,global_conn
0,1000,48.24089574813843,-0.04999999999997726,0.00054345623,0.9962400000000171,69.39999999999999,45.0,62.5,18.75
1,1000,56.686705112457275,17.90000000000019,0.00011649381,0.9862400000000626,63.1,50.0,81.25,31.25
2,1000,54.97757911682129,10.224999999999985,6.459903e-05,0.9762400000001081,66.60000000000001,85.0,81.25,18.75
3,1000,58.67649006843567,36.66249999999995,6.2200146e-05,0.9662400000001536,74.4,85.0,50.0,25.0
4,1000,60.27551579475403,13.746874999999978,5.7536854e-05,0.9562400000001992,72.39999999999999,55.00000000000001,50.0,18.75
5,1000,59.14026713371277,21.13749999999999,5.499544e-05,0.9462400000002447,72.8,90.0,50.0,25.0
6,1000,59.63763451576233,39.87187500000003,5.5753466e-05,0.9362400000002902,59.599999999999994,100.0,62.5,37.5
7,1000,59.92098903656006,33.51875000000037,5.3871398e-05,0.9262400000003357,68.2,80.0,68.75,18.75
8,1000,60.23617911338806,12.765625000000027,5.1683688e-05,0.9162400000003812,65.0,60.0,75.0,18.75
9,1000,59.32409977912903,23.690624999999905,5.0408296e-05,0.9062400000004267,71.8,70.0,81.25,25.0
10,1000,61.47993993759155,17.99687500000009,4.9747097e-05,0.8962400000004722,70.7,65.0,50.0,12.5
11,1000,61.67031455039978,17.437499999999794,5.1039526e-05,0.8862400000005177,62.0,75.0,93.75,25.0
12,1000,61.11010026931763,3.1406249999999645,5.5484354e-05,0.8762400000005632,63.2,40.0,75.0,25.0
13,1000,61.51589918136597,17.424999999999798,5.9989972e-05,0.8662400000006087,71.39999999999999,75.0,75.0,18.75
14,1000,61.31765961647034,12.624999999999822,6.49772e-05,0.8562400000006543,66.4,65.0,75.0,25.0
15,1000,61.67289400100708,20.499999999999684,6.680117e-05,0.8462400000006998,69.0,80.0,50.0,25.0
16,1000,61.94693732261658,6.518750000000021,6.7907815e-05,0.8362400000007453,63.7,70.0,62.5,25.0
17,1000,61.73955464363098,15.381249999999941,6.925154e-05,0.8262400000007908,71.5,65.0,43.75,31.25
18,1000,62.054298400878906,0.9749999999999938,6.824507e-05,0.8162400000008363,69.0,55.00000000000001,75.0,18.75
19,1000,62.298577547073364,1.7375000000000087,6.778671e-05,0.8062400000008818,64.8,65.0,68.75,37.5
20,1000,62.011332273483276,23.606250000000177,6.8151e-05,0.7962400000009273,68.7,55.00000000000001,56.25,18.75
21,1000,61.63714790344238,6.89062500000008,6.912634e-05,0.7862400000009728,69.69999999999999,60.0,50.0,31.25
22,1000,61.51068949699402,5.80937499999993,7.1246264e-05,0.7762400000010183,71.6,50.0,37.5,12.5
23,1000,61.6346971988678,5.896875000000008,7.229228e-05,0.7662400000010638,71.8,55.00000000000001,56.25,25.0
24,1000,61.653135776519775,4.340624999999924,7.5264994e-05,0.7562400000011094,56.2,60.0,75.0,25.0
25,1000,61.73921084403992,19.799999999999887,7.778663e-05,0.7462400000011549,69.19999999999999,70.0,62.5,18.75
26,1000,61.79224228858948,17.759375000000038,7.923482e-05,0.7362400000012004,75.6,75.0,43.75,18.75
27,1000,61.906282901763916,6.159375000000032,7.979772e-05,0.7262400000012459,73.4,50.0,43.75,18.75
28,1000,62.29416060447693,13.562500000000018,7.957631e-05,0.7162400000012914,70.3,80.0,50.0,37.5
29,1000,62.30296540260315,18.49999999999999,8.043085e-05,0.7062400000013369,72.89999999999999,75.0,43.75,25.0
30,1000,62.12521719932556,36.468750000000284,8.1097125e-05,0.6962400000013824,75.8,90.0,25.0,12.5
31,1000,62.11686849594116,-0.39062500000001177,8.141332e-05,0.6862400000014279,57.099999999999994,55.00000000000001,81.25,56.25
32,1000,63.73603558540344,30.759375000000457,8.110538e-05,0.6762400000014734,75.9,90.0,50.0,12.5
33,1000,64.63659906387329,8.68749999999991,8.066495e-05,0.666240000001519,54.50000000000001,55.00000000000001,75.0,62.5
34,1000,62.8235137462616,8.24999999999993,8.07963e-05,0.6562400000015645,66.0,45.0,56.25,25.0
35,1000,60.222787380218506,7.925000000000033,8.0984326e-05,0.64624000000161,65.2,65.0,62.5,18.75
36,1000,60.440906047821045,30.98125000000022,8.1169965e-05,0.6362400000016555,78.5,75.0,50.0,25.0
37,1000,59.923280477523804,-10.184374999999957,8.097076e-05,0.626240000001701,60.699999999999996,60.0,43.75,18.75
38,1000,60.30336618423462,35.81562499999986,8.0837286e-05,0.6162400000017465,76.9,90.0,50.0,25.0
39,1000,60.6733283996582,22.668749999999957,8.0949234e-05,0.606240000001792,75.5,60.0,37.5,25.0
40,1000,60.68185210227966,22.37499999999997,8.123169e-05,0.5962400000018375,79.80000000000001,75.0,25.0,12.5
41,1000,60.70919418334961,26.471875000000075,8.1229904e-05,0.586240000001883,80.4,90.0,62.5,18.75
42,1000,60.62116813659668,22.431250000000322,8.0818696e-05,0.5762400000019285,81.5,85.0,50.0,25.0
43,1000,60.6369469165802,-10.621874999999966,8.006141e-05,0.566240000001974,69.1,35.0,43.75,18.75
44,1000,60.59420084953308,18.99062500000004,7.9434336e-05,0.5562400000020196,81.89999999999999,70.0,31.25,18.75
45,1000,60.269877195358276,20.837499999999782,7.9016565e-05,0.5462400000020651,73.7,60.0,50.0,25.0
46,1000,60.702876567840576,19.621874999999932,7.865383e-05,0.5362400000021106,75.3,75.0,25.0,25.0
47,1000,60.59830594062805,-2.2843750000000163,7.7941535e-05,0.5262400000021561,70.39999999999999,80.0,50.0,12.5
48,1000,60.88810849189758,29.943749999999994,7.736094e-05,0.5162400000022016,75.0,75.0,25.0,12.5
49,1000,60.523766040802,14.271875000000076,7.7031465e-05,0.5062400000022471,71.39999999999999,65.0,56.25,25.0
50,1000,60.02247381210327,20.106250000000102,7.679225e-05,0.49624000000227175,75.3,65.0,37.5,12.5
51,1000,59.989551305770874,15.050000000000024,7.605421e-05,0.48624000000226175,70.0,90.0,31.25,18.75
52,1000,60.40876507759094,26.14999999999979,7.5395496e-05,0.47624000000225175,82.6,75.0,31.25,18.75
53,1000,60.22619271278381,18.68124999999999,7.488704e-05,0.46624000000224175,73.9,75.0,37.5,18.75
54,1000,60.57643389701843,30.499999999999808,7.452944e-05,0.45624000000223175,76.1,80.0,31.25,18.75
55,1000,60.623568058013916,18.265624999999833,7.470255e-05,0.44624000000222175,63.3,45.0,56.25,18.75
56,1000,61.173481941223145,21.593750000000192,7.4345975e-05,0.43624000000221175,68.30000000000001,55.00000000000001,62.5,18.75
57,1000,60.759408712387085,2.059374999999999,7.373649e-05,0.42624000000220175,69.39999999999999,50.0,37.5,12.5
58,1000,61.31380891799927,16.86562499999984,7.305658e-05,0.41624000000219175,77.9,65.0,43.75,18.75
59,1000,60.29660081863403,10.390625000000018,7.239461e-05,0.40624000000218174,76.2,80.0,37.5,12.5
60,1000,60.40226435661316,20.01874999999979,7.163206e-05,0.39624000000217174,68.30000000000001,60.0,50.0,12.5
61,1000,60.182196617126465,2.6937500000000094,7.104756e-05,0.38624000000216174,66.9,70.0,75.0,31.25
62,1000,60.780545711517334,26.140625000000107,7.083547e-05,0.37624000000215174,74.4,70.0,56.25,31.25
63,1000,60.37716317176819,19.22187499999994,7.019971e-05,0.36624000000214174,78.10000000000001,70.0,12.5,12.5
64,1000,60.568581104278564,20.406250000000174,6.965548e-05,0.35624000000213174,76.7,60.0,12.5,12.5
65,1000,60.676842212677,17.75625000000003,6.919691e-05,0.34624000000212174,73.2,70.0,43.75,18.75
66,1000,60.504337310791016,17.809375000000045,6.9582515e-05,0.33624000000211174,74.4,60.0,25.0,12.5
67,1000,60.76697397232056,15.09999999999998,6.91774e-05,0.32624000000210174,78.3,75.0,25.0,12.5
68,1000,61.175373792648315,27.631249999999927,6.920622e-05,0.31624000000209174,75.0,75.0,50.0,18.75
69,1000,61.021146059036255,28.553124999999884,6.915073e-05,0.30624000000208174,88.1,75.0,12.5,12.5
70,1000,60.504626512527466,21.250000000000064,6.924856e-05,0.29624000000207173,75.3,65.0,25.0,12.5
71,1000,60.50790977478027,33.86562499999996,6.936611e-05,0.28624000000206173,80.2,75.0,50.0,12.5
72,1000,60.009506702423096,20.959374999999827,6.905469e-05,0.27624000000205173,75.8,55.00000000000001,18.75,18.75
73,1000,60.4487509727478,24.15937499999985,6.8733694e-05,0.26624000000204173,57.8,60.0,37.5,25.0
74,1000,60.388418674468994,21.115625000000037,6.8229645e-05,0.25624000000203173,67.30000000000001,70.0,50.0,31.25
75,1000,60.973607301712036,30.87187500000002,6.7888e-05,0.24624000000202173,69.19999999999999,85.0,37.5,25.0
76,1000,60.623563289642334,22.95624999999999,6.7554465e-05,0.23624000000201173,79.2,65.0,25.0,12.5
77,1000,61.09849786758423,30.925000000000225,6.7251654e-05,0.22624000000200173,76.3,85.0,37.5,12.5
78,1000,61.3430655002594,19.381250000000083,6.68166e-05,0.21624000000199173,77.60000000000001,85.0,25.0,12.5
