# Model: zoom-grid (binary maps), Actions: basic, Environment: 2km x 2km, 
# Num drones: 16, Num users: 20, Num obstacles: 0
# Max steps: 1000, Time step: 0.10
episode,steps,duration,reward,loss,epsilon,area_coverage,user_coverage,direct_conn,global_conn
0,1000,46.27504348754883,33.706250000000175,5.4902684e-05,0.9962400000000171,66.10000000000001,70.0,68.75,25.0
1,1000,53.84256362915039,24.9468749999998,2.3672219e-05,0.9862400000000626,68.89999999999999,70.0,62.5,50.0
2,1000,54.47141885757446,13.50624999999992,2.290187e-05,0.9762400000001081,56.49999999999999,50.0,68.75,43.75
3,1000,54.40507745742798,32.8375000000001,2.3646715e-05,0.9662400000001536,72.7,75.0,31.25,18.75
4,1000,55.416930198669434,21.25312500000016,2.376807e-05,0.9562400000001992,70.6,75.0,62.5,18.75
5,1000,55.29755973815918,20.018749999999642,2.4442463e-05,0.9462400000002447,66.0,70.0,68.75,25.0
6,1000,56.35065412521362,16.86249999999996,2.3554641e-05,0.9362400000002902,67.2,60.0,68.75,37.5
7,1000,57.88883948326111,20.412500000000207,2.2551892e-05,0.9262400000003357,63.3,60.0,87.5,18.75
8,1000,58.82488250732422,24.07187500000029,2.2933062e-05,0.9162400000003812,71.7,75.0,43.75,31.25
9,1000,59.625287771224976,-2.137499999999979,2.5738696e-05,0.9062400000004267,63.0,45.0,75.0,18.75
10,1000,58.03655004501343,18.86562499999994,2.8106684e-05,0.8962400000004722,52.800000000000004,70.0,75.0,31.25
11,1000,58.84179377555847,20.11562500000027,3.0349056e-05,0.8862400000005177,67.0,70.0,81.25,25.0
12,1000,58.77316761016846,29.14374999999964,3.2006472e-05,0.8762400000005632,65.3,70.0,75.0,25.0
13,1000,58.91877889633179,19.540625000000116,3.3623135e-05,0.8662400000006087,60.9,55.00000000000001,87.5,25.0
14,1000,58.88275933265686,-15.25312499999998,3.6279256e-05,0.8562400000006543,61.4,40.0,81.25,31.25
15,1000,58.35129904747009,20.76249999999987,3.7612408e-05,0.8462400000006998,59.599999999999994,70.0,87.5,31.25
16,1000,58.827725648880005,9.650000000000066,4.043178e-05,0.8362400000007453,66.0,60.0,68.75,43.75
17,1000,59.52207827568054,27.362500000000118,4.4524477e-05,0.8262400000007908,68.10000000000001,85.0,43.75,31.25
18,1000,60.617587089538574,1.7249999999998624,4.8361257e-05,0.8162400000008363,64.1,70.0,43.75,25.0
19,1000,60.39029788970947,14.034374999999866,5.0465525e-05,0.8062400000008818,58.099999999999994,50.0,68.75,25.0
20,1000,58.106590270996094,21.346875000000274,5.3239935e-05,0.7962400000009273,71.6,70.0,62.5,18.75
21,1000,59.26831412315369,14.85937499999998,5.5821285e-05,0.7862400000009728,59.599999999999994,60.0,75.0,50.0
22,1000,58.93119788169861,24.978125000000002,5.7697238e-05,0.7762400000010183,69.69999999999999,65.0,81.25,25.0
23,1000,58.224010705947876,21.118750000000038,5.8497048e-05,0.7662400000010638,70.89999999999999,85.0,50.0,18.75
24,1000,58.877750873565674,19.28750000000016,6.193616e-05,0.7562400000011094,67.60000000000001,80.0,50.0,12.5
25,1000,58.690725803375244,12.684375000000115,6.486046e-05,0.7462400000011549,68.2,70.0,62.5,31.25
26,1000,60.27439332008362,18.51250000000032,6.807941e-05,0.7362400000012004,71.8,75.0,56.25,31.25
27,1000,59.84132933616638,21.99687499999976,6.978184e-05,0.7262400000012459,72.3,60.0,62.5,25.0
28,1000,57.42152810096741,14.21874999999982,7.0302056e-05,0.7162400000012914,57.49999999999999,55.00000000000001,75.0,62.5
29,1000,57.419230699539185,14.659374999999944,7.128449e-05,0.7062400000013369,76.3,80.0,62.5,12.5
30,1000,58.25236415863037,3.862500000000049,7.240665e-05,0.6962400000013824,64.7,70.0,75.0,18.75
31,1000,58.3922643661499,3.368750000000002,7.365203e-05,0.6862400000014279,71.7,60.0,62.5,12.5
32,1000,58.04533076286316,34.93125000000041,7.5494114e-05,0.6762400000014734,71.7,90.0,75.0,18.75
33,1000,59.29681038856506,22.787499999999646,7.7098346e-05,0.666240000001519,67.80000000000001,65.0,50.0,31.25
34,1000,58.63681077957153,3.4624999999999746,7.8229634e-05,0.6562400000015645,63.0,60.0,43.75,18.75
35,1000,58.52744722366333,6.271874999999995,7.9598605e-05,0.64624000000161,65.2,65.0,75.0,43.75
36,1000,57.70137429237366,14.418750000000157,8.159257e-05,0.6362400000016555,60.4,70.0,62.5,50.0
37,1000,58.475181341171265,31.346875000000153,8.3173305e-05,0.626240000001701,73.4,85.0,62.5,12.5
38,1000,58.23568367958069,15.578125000000053,8.3827006e-05,0.6162400000017465,74.2,45.0,37.5,18.75
39,1000,58.9007134437561,27.159374999999667,8.426629e-05,0.606240000001792,74.0,85.0,43.75,25.0
40,1000,57.54809808731079,15.403124999999635,8.506437e-05,0.5962400000018375,67.5,70.0,62.5,25.0
41,1000,59.31652092933655,23.649999999999995,8.6522254e-05,0.586240000001883,63.3,60.0,68.75,18.75
