# Model: log-polar (binary maps), Actions: basic, Environment: 2km x 2km, 
# Num drones: 16, Num users: 20, Num obstacles: 0
# Max steps: 3000, Time step: 0.10
episode,steps,duration,reward,loss,epsilon,area_coverage,user_coverage,direct_conn,global_conn
0,3000,211.44065046310425,56.29999999999963,9.7343654e-05,0.9762400000001081,69.8,50.0,62.5,12.5
1,3000,250.70293593406677,117.09999999999998,2.496103e-05,0.9462400000002447,71.6,95.0,62.5,18.75
2,3000,241.96538949012756,47.54375000000084,2.6753783e-05,0.9162400000003812,72.2,80.0,43.75,18.75
3,3000,257.72388648986816,44.89375000000141,3.297492e-05,0.8862400000005177,67.5,70.0,62.5,12.5
4,3000,254.40765357017517,38.94375000000009,4.1292697e-05,0.8562400000006543,67.4,60.0,81.25,25.0
5,3000,251.83954882621765,7.5218749999994134,4.570065e-05,0.8262400000007908,61.3,75.0,81.25,43.75
6,3000,256.3863642215729,23.381249999999756,5.3117423e-05,0.7962400000009273,66.60000000000001,40.0,68.75,31.25
7,3000,244.5337269306183,62.30625000000003,5.8174475e-05,0.7662400000010638,67.4,70.0,62.5,18.75
8,3000,245.45959067344666,4.421875000000126,6.1593244e-05,0.7362400000012004,63.1,40.0,75.0,31.25
9,3000,246.46870732307434,8.999999999999234,6.69308e-05,0.7062400000013369,66.5,45.0,56.25,31.25
10,3000,243.077454328537,35.82499999999969,7.117404e-05,0.6762400000014734,69.39999999999999,60.0,31.25,18.75
11,3000,240.20719647407532,93.52187500000058,7.517924e-05,0.64624000000161,67.60000000000001,60.0,68.75,37.5
12,3000,238.80645871162415,65.23750000000108,7.693939e-05,0.6162400000017465,57.099999999999994,65.0,62.5,31.25
13,3000,240.53620624542236,63.696875000001874,7.685092e-05,0.586240000001883,74.1,80.0,25.0,12.5
14,3000,240.53269863128662,62.243749999999366,7.6805125e-05,0.5562400000020196,61.9,80.0,50.0,37.5
15,3000,240.20575284957886,66.02812499999968,7.5300304e-05,0.5262400000021561,60.199999999999996,55.00000000000001,81.25,18.75
16,3000,238.94034934043884,71.49374999999965,7.369369e-05,0.49624000000227175,68.4,75.0,62.5,25.0
17,3000,239.3779776096344,83.15312500000016,7.262704e-05,0.46624000000224175,65.2,65.0,56.25,31.25
18,3000,242.7891881465912,88.88125000000015,7.128862e-05,0.43624000000221175,63.2,55.00000000000001,43.75,18.75
19,3000,244.38407063484192,39.009375000000205,7.035576e-05,0.40624000000218174,56.10000000000001,55.00000000000001,68.75,18.75
20,3000,244.25349140167236,60.06250000000136,7.020158e-05,0.37624000000215174,70.3,70.0,37.5,12.5
21,3000,244.44204354286194,58.159375000000146,7.00668e-05,0.34624000000212174,63.7,65.0,62.5,18.75
22,3000,244.2668468952179,48.253125000000125,6.986954e-05,0.31624000000209174,75.3,75.0,12.5,12.5
23,3000,241.90752243995667,61.66562500000025,7.025033e-05,0.28624000000206173,65.7,60.0,56.25,43.75
24,3000,242.12497353553772,100.43437500000057,7.0241025e-05,0.25624000000203173,79.10000000000001,80.0,18.75,18.75
25,3000,242.9465274810791,65.68437500000002,6.9757196e-05,0.22624000000200173,65.2,65.0,50.0,12.5
26,3000,243.99427795410156,38.08124999999993,6.913011e-05,0.19624000000197173,63.2,60.0,62.5,25.0
27,3000,243.56172823905945,53.181250000001356,6.843299e-05,0.16624000000194172,69.69999999999999,50.0,31.25,18.75
28,3000,239.81427597999573,65.5750000000002,6.7871544e-05,0.13624000000191172,56.2,50.0,62.5,25.0
29,3000,238.4552035331726,85.3999999999977,6.731018e-05,0.10624000000190775,62.3,50.0,50.0,18.75
30,3000,240.5739827156067,34.36562499999971,6.705771e-05,0.1,56.10000000000001,60.0,68.75,31.25
31,3000,241.74806880950928,57.209375000000186,6.702773e-05,0.1,63.1,70.0,31.25,31.25
32,3000,242.85599207878113,104.2656249999982,6.697596e-05,0.1,71.3,75.0,43.75,25.0
33,3000,240.70949792861938,57.9374999999997,6.6666435e-05,0.1,60.9,80.0,62.5,50.0
34,3000,240.63061237335205,78.08437500000218,6.6206485e-05,0.1,70.39999999999999,75.0,37.5,18.75
35,3000,242.848482131958,49.824999999999825,6.549405e-05,0.1,70.8,80.0,56.25,25.0
36,3000,242.17889666557312,69.81562499999836,6.4766245e-05,0.1,64.3,75.0,62.5,25.0
37,3000,241.45705699920654,79.093749999998,6.4082415e-05,0.1,68.4,85.0,37.5,25.0
38,3000,242.33457779884338,93.8406250000001,6.349569e-05,0.1,76.4,85.0,25.0,12.5
39,3000,243.95841121673584,73.93750000000018,6.3087435e-05,0.1,64.7,85.0,50.0,25.0
40,3000,240.93153524398804,75.95937499999954,6.2930834e-05,0.1,72.89999999999999,85.0,25.0,12.5
41,3000,244.36962747573853,79.74687499999881,6.3110594e-05,0.1,69.89999999999999,80.0,68.75,31.25
42,3000,244.3357195854187,89.02812499999885,6.3670974e-05,0.1,75.9,75.0,50.0,12.5
43,3000,246.96682691574097,72.47500000000028,6.42469e-05,0.1,66.0,70.0,50.0,12.5
44,3000,244.13731622695923,83.42812500000025,6.446719e-05,0.1,62.7,60.0,62.5,25.0
45,3000,245.46719551086426,113.49062499999916,6.4689324e-05,0.1,68.2,75.0,56.25,25.0
46,3000,246.1423683166504,112.30625000000133,6.500385e-05,0.1,75.9,95.0,31.25,18.75
